2025-10-07 00:02:38, qwer, 로그인
2025-10-07 00:02:38, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:02:39, qwer, 로그인
2025-10-07 00:02:39, qwer, 탭 '남방 진동' 선택
2025-10-07 00:02:39, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:02:39, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:02:39, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:03:22, qwer, 로그인
2025-10-07 00:03:22, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:03:23, qwer, 로그인
2025-10-07 00:03:23, qwer, 탭 '남방 진동' 선택
2025-10-07 00:03:23, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:03:23, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:03:23, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:05:02, qwer, 로그인
2025-10-07 00:05:02, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:05:03, qwer, 로그인
2025-10-07 00:05:03, qwer, 탭 '남방 진동' 선택
2025-10-07 00:05:03, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:05:03, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:05:03, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:05:31, qwer, 로그인
2025-10-07 00:05:31, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:05:32, qwer, 로그인
2025-10-07 00:05:32, qwer, 탭 '남방 진동' 선택
2025-10-07 00:05:32, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:05:32, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:05:32, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:07:13, qwer, 로그인
2025-10-07 00:07:13, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:07:13, qwer, 로그인
2025-10-07 00:07:13, qwer, 탭 '남방 진동' 선택
2025-10-07 00:07:13, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:07:13, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:07:13, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:08:26, qwer, 로그인
2025-10-07 00:08:26, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:08:26, qwer, 로그인
2025-10-07 00:08:26, qwer, 탭 '남방 진동' 선택
2025-10-07 00:08:26, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:08:26, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:08:26, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:17:41, qwer, 로그인
2025-10-07 00:17:41, qwer, 탭 '활동 안내' 선택
2025-10-07 00:17:41, qwer, 탭 '활동하기' 선택
2025-10-07 00:17:41, qwer, 탭 '자료 업로드' 선택
2025-10-07 00:17:42, qwer, 로그인
2025-10-07 00:17:42, qwer, 탭 '남방 진동' 선택
2025-10-07 00:17:42, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:17:42, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:17:42, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:17:42, qwer, 탭 '엘리뇨와 라니냐 전망' 선택
2025-10-07 00:17:55, qwer, 로그인
2025-10-07 00:17:55, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:17:55, qwer, 로그인
2025-10-07 00:17:55, qwer, 탭 '남방 진동' 선택
2025-10-07 00:17:55, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:17:55, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:17:55, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:17:55, qwer, 탭 '엘리뇨와 라니냐 전망' 선택
2025-10-07 00:18:10, qwer, 로그인
2025-10-07 00:18:10, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:18:11, qwer, 로그인
2025-10-07 00:18:11, qwer, 탭 '남방 진동' 선택
2025-10-07 00:18:11, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:18:11, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
2025-10-07 00:18:11, qwer, 탭 '엘리뇨와 라니냐의 기준' 선택
2025-10-07 00:18:11, qwer, 탭 '엘리뇨와 라니냐 전망' 선택
2025-10-07 00:19:22, qwer, 로그인
2025-10-07 00:19:22, qwer, 탭 '시각화의 개념' 선택
2025-10-07 00:19:23, qwer, 로그인
2025-10-07 00:19:23, qwer, 탭 '남방 진동' 선택
2025-10-07 00:19:23, qwer, 탭 '엘리뇨와 라니냐' 선택
2025-10-07 00:19:23, qwer, 탭 '우리나라 기후에 미치는 영향' 선택
